,Name,Latitude,Longitude,Altitude,zona_allertamento
AGORR,Alpe Gorreto,44.6047,9.2363,915,E
AIROL,Airole,43.87296,7.54484,103,A
ALASS,Alassio,44.00624,8.1693,25,A
ALPIC,Alpicella,44.40667,8.52604,435,B
ALTOM,Alto - Madonna del lago,44.12275,7.99653,1095,A
AMBOR,Amborzasco,44.51447,9.45496,908,E
AREPO,Arenzano-Porto,44.3981,8.68775,3,B
AVOBB,Alpe Vobbia,44.57032,9.07492,1082,E
BARGO,Bargone,44.29506,9.48136,260,C
BELEN,Colle Belenda,43.98152,7.69983,1357,A
BESTA,Bestagno,43.9333,8.0007,281,A
BGNNE,Bagnone,44.30966,9.98416,320,nan
BMARO,Borgomaro,43.97713,7.95315,250,A
BOACM,BOA Capo Mele,43.92167,8.177,0,nan
BOLSN,Bolsine,44.37234,8.57322,26,B
BONUO,Borgonuovo,43.84601,7.62104,115,A
BOROS,Bosco di Rossano,44.30491,9.7975,670,nan
BRATT,Passo del Brattello,44.45624,9.82294,955,nan
BRGEL,Barbagelata,44.48218,9.24202,1100,E
BRUGN,Brugneto Diga,44.53635,9.20544,777,E
BRZON,Borzone,44.42429,9.41013,386,C
BUSAL,Busalla,44.57129,8.94892,358,E
BVARA,Brugnato,44.23132,9.71552,112,C
CABAN,Cabanne,44.4952,9.34647,809,E
CAIRM,Cairo Montenotte,44.40234,8.27224,388,D
CALGR,Calice Ligure - Ca Rosse,44.19573,8.30205,50,A
CALIZ,Calizzano,44.23413,8.11822,647,D
CAMOG,Camogli,44.34704,9.15931,60,B
CAMPL,Campo Ligure,44.54256,8.6939,338,D
CARPG,Carpe - Case Garoni,44.14441,8.1634,445,A
CARRO,Carro,44.27525,9.59772,437,C
CASON,Casoni di Suvero,44.30542,9.76581,1070,C
CASRB,Castelvecchio di R. B.,44.13202,8.11888,432,A
CAVIP,Cavi di Lavagna,44.29669,9.3735,110,C
CCADB,Colle di Cadibona,44.33297,8.38289,385,B
CCHER,Cichero,44.42107,9.32194,615,C
CCORM,Calice al C. - Molunghi,44.24894,9.83869,425,C
CEMBR,Cembrano,44.35237,9.58414,410,C
CENES,Cenesi,44.07678,8.13421,110,A
CERIA,Ceriana,43.87968,7.77388,370,A
CERPG,Passo Ghimbegna,43.90463,7.73328,931,A
CFUNZ,Genova - Centro Funzionale,44.40035,8.94591,30,B
CHIRI,Chiavari,44.31885,9.32978,50,C
CLARI,Castellari,44.14665,8.26235,91,A
CLROS,Colla Rossa,43.83103,7.54322,460,A
CMELO,Colle del Melogno,44.23234,8.20245,1004,A
CNAVA,Colle di Nava,44.08325,7.87331,927,A
CODOG,Colle D'Oggia,43.98131,7.86667,1163,A
COMAN,Comano,44.30385,10.11961,734,nan
CONNA,Conna,43.97923,8.10363,350,A
CRAIN,Cipressa,43.85263,7.92859,285,A
CRCFI,Crocefieschi - Santuario,44.58458,9.01824,762,E
CRETO,Creto,44.47507,9.00714,630,B
CRNLO,Corniolo,44.10632,9.73483,238,C
CRORE,Crocetta di Orero,44.52014,8.98586,470,B
CUCCA,Cuccarello,44.34967,9.69908,835,C
DAVAG,Davagna,44.46781,9.09539,467,B
DEGIR,Dego - Girini,44.45176,8.33939,450,D
DOLCE,Dolcedo,43.9059,7.9515,77,A
ELLRA,Ellera - Foglietto,44.36638,8.4667,80,B
EQUIT,Equi Terme,44.16942,10.14991,250,nan
FABIA,La Spezia - Fabiano,44.09449,9.8097,57,C
FALLA,Fallarosa,44.51715,9.10336,865,E
FERRA,Ferrania,44.36694,8.32248,358,D
FFRES,Fontana Fresca,44.4029,9.09318,791,B
FIORI,Fiorino,44.46494,8.70493,290,B
FRAMU,Framura,44.21359,9.54033,421,C
GEBOL,Genova - Bolzaneto,44.4553,8.89561,47,B
GECER,Genova - Certosa,44.42439,8.88997,30,B
GEFIU,Genova - Fiumara,44.41141,8.88407,18,B
GEGEI,Genova - Geirato,44.45966,8.97959,70,B
GEPCA,Genova - Gavette,44.43439,8.96109,30,B
GEPEG,Genova - Pegli,44.43227,8.8246,69,B
GEPOA,Genova - Porto Antico,44.40816,8.92317,25,B
